,pid,hid,freq,activity,seq,start time,end time,duration,zone
31,12052000_12052000_10132,12052000_12052000_10132,,home,1,1900-01-01 00:00:00,1900-01-01 07:08:45,7:08:45,
32,12052000_12052000_10132,12052000_12052000_10132,,work,2,1900-01-01 07:08:45,1900-01-01 15:27:57,8:19:12,
33,12052000_12052000_10132,12052000_12052000_10132,,home,3,1900-01-01 15:27:57,1900-01-02 00:00:00,8:32:03,
34,12052000_12052000_10153,12052000_12052000_10153,,home,1,1900-01-01 00:00:00,1900-01-01 06:19:14,6:19:14,
35,12052000_12052000_10153,12052000_12052000_10153,,work,2,1900-01-01 06:19:14,1900-01-01 15:37:28,9:18:14,
36,12052000_12052000_10153,12052000_12052000_10153,,home,3,1900-01-01 16:23:57,1900-01-02 00:00:00,7:36:03,
37,12052000_12052000_10170,12052000_12052000_10170,,home,1,1900-01-01 00:00:00,1900-01-01 07:42:54,7:42:54,
38,12052000_12052000_10170,12052000_12052000_10170,,work,2,1900-01-01 07:42:54,1900-01-01 15:17:16,7:34:22,
39,12052000_12052000_10170,12052000_12052000_10170,,home,3,1900-01-01 15:17:16,1900-01-02 00:00:00,8:42:44,
40,12052000_12052000_1019,12052000_12052000_1019,,home,1,1900-01-01 00:00:00,1900-01-01 07:21:55,7:21:55,
41,12052000_12052000_1019,12052000_12052000_1019,,work,2,1900-01-01 07:21:55,1900-01-01 15:44:16,8:22:21,
42,12052000_12052000_1019,12052000_12052000_1019,,home,3,1900-01-01 15:44:16,1900-01-02 00:00:00,8:15:44,
43,12052000_12052000_10197,12052000_12052000_10197,,home,1,1900-01-01 00:00:00,1900-01-01 07:18:28,7:18:28,
44,12052000_12052000_10197,12052000_12052000_10197,,work,2,1900-01-01 07:57:48,1900-01-01 15:53:10,7:55:22,
45,12052000_12052000_10197,12052000_12052000_10197,,home,3,1900-01-01 16:32:30,1900-01-02 00:00:00,7:27:30,
46,12052000_12052000_10218,12052000_12052000_10218,,home,1,1900-01-01 00:00:00,1900-01-01 08:13:59,8:13:59,
47,12052000_12052000_10218,12052000_12052000_10218,,work,2,1900-01-01 08:13:59,1900-01-01 16:02:29,7:48:30,
48,12052000_12052000_10218,12052000_12052000_10218,,home,3,1900-01-01 16:02:29,1900-01-02 00:00:00,7:57:31,
49,12052000_12052000_10229,12052000_12052000_10229,,home,1,1900-01-01 00:00:00,1900-01-01 08:38:51,8:38:51,
50,12052000_12052000_10229,12052000_12052000_10229,,work,2,1900-01-01 08:38:51,1900-01-01 17:06:07,8:27:16,
51,12052000_12052000_10229,12052000_12052000_10229,,home,3,1900-01-01 17:06:07,1900-01-02 00:00:00,6:53:53,
52,12052000_12052000_10241,12052000_12052000_10241,,home,1,1900-01-01 00:00:00,1900-01-01 08:12:25,8:12:25,
53,12052000_12052000_10241,12052000_12052000_10241,,work,2,1900-01-01 08:12:25,1900-01-01 15:53:35,7:41:10,
54,12052000_12052000_10241,12052000_12052000_10241,,home,3,1900-01-01 15:53:35,1900-01-02 00:00:00,8:06:25,
55,12052000_12052000_10288,12052000_12052000_10288,,home,1,1900-01-01 00:00:00,1900-01-01 06:07:29,6:07:29,
56,12052000_12052000_10288,12052000_12052000_10288,,work,2,1900-01-01 06:07:29,1900-01-01 15:35:31,9:28:02,
57,12052000_12052000_10288,12052000_12052000_10288,,home,3,1900-01-01 15:35:31,1900-01-02 00:00:00,8:24:29,
58,12052000_12052000_1030,12052000_12052000_1030,,home,1,1900-01-01 00:00:00,1900-01-01 06:19:09,6:19:09,
59,12052000_12052000_1030,12052000_12052000_1030,,work,2,1900-01-01 07:09:42,1900-01-01 15:00:42,7:51:00,
60,12052000_12052000_1030,12052000_12052000_1030,,home,3,1900-01-01 15:51:15,1900-01-02 00:00:00,8:08:45,
61,12052000_12052000_10305,12052000_12052000_10305,,home,1,1900-01-01 00:00:00,1900-01-01 07:40:30,7:40:30,
62,12052000_12052000_10305,12052000_12052000_10305,,work,2,1900-01-01 07:40:30,1900-01-01 16:42:57,9:02:27,
63,12052000_12052000_10305,12052000_12052000_10305,,home,3,1900-01-01 16:42:57,1900-01-02 00:00:00,7:17:03,
64,12052000_12052000_10314,12052000_12052000_10314,,home,1,1900-01-01 00:00:00,1900-01-01 08:37:33,8:37:33,
65,12052000_12052000_10314,12052000_12052000_10314,,work,2,1900-01-01 08:37:33,1900-01-01 17:04:38,8:27:05,
66,12052000_12052000_10314,12052000_12052000_10314,,home,3,1900-01-01 17:04:38,1900-01-02 00:00:00,6:55:22,
67,12052000_12052000_10344,12052000_12052000_10344,,home,1,1900-01-01 00:00:00,1900-01-01 06:10:10,6:10:10,
68,12052000_12052000_10344,12052000_12052000_10344,,work,2,1900-01-01 06:10:10,1900-01-01 15:54:42,9:44:32,
69,12052000_12052000_10344,12052000_12052000_10344,,home,3,1900-01-01 15:54:42,1900-01-02 00:00:00,8:05:18,
70,12052000_12052000_10349,12052000_12052000_10349,,home,1,1900-01-01 00:00:00,1900-01-01 06:22:04,6:22:04,
71,12052000_12052000_10349,12052000_12052000_10349,,work,2,1900-01-01 06:22:04,1900-01-01 15:38:50,9:16:46,
72,12052000_12052000_10349,12052000_12052000_10349,,home,3,1900-01-01 15:38:50,1900-01-02 00:00:00,8:21:10,
73,12052000_12052000_10350,12052000_12052000_10350,,home,1,1900-01-01 00:00:00,1900-01-01 06:33:33,6:33:33,
74,12052000_12052000_10350,12052000_12052000_10350,,work,2,1900-01-01 06:33:33,1900-01-01 15:42:54,9:09:21,
75,12052000_12052000_10350,12052000_12052000_10350,,home,3,1900-01-01 16:25:06,1900-01-02 00:00:00,7:34:54,
76,12052000_12052000_10410,12052000_12052000_10410,,home,1,1900-01-01 00:00:00,1900-01-01 08:31:36,8:31:36,
77,12052000_12052000_10410,12052000_12052000_10410,,work,2,1900-01-01 08:31:36,1900-01-01 16:35:11,8:03:35,
78,12052000_12052000_10410,12052000_12052000_10410,,home,3,1900-01-01 16:35:11,1900-01-02 00:00:00,7:24:49,
79,12052000_12052000_10430,12052000_12052000_10430,,home,1,1900-01-01 00:00:00,1900-01-01 07:29:05,7:29:05,
80,12052000_12052000_10430,12052000_12052000_10430,,work,2,1900-01-01 07:29:05,1900-01-01 16:08:08,8:39:03,
81,12052000_12052000_10430,12052000_12052000_10430,,home,3,1900-01-01 16:08:08,1900-01-02 00:00:00,7:51:52,
82,12052000_12052000_10432,12052000_12052000_10432,,home,1,1900-01-01 00:00:00,1900-01-01 07:36:01,7:36:01,
83,12052000_12052000_10432,12052000_12052000_10432,,work,2,1900-01-01 07:36:01,1900-01-01 08:04:57,0:28:56,
84,12052000_12052000_10432,12052000_12052000_10432,,work,3,1900-01-01 08:04:57,1900-01-01 15:56:52,7:51:55,
85,12052000_12052000_10432,12052000_12052000_10432,,work,4,1900-01-01 15:56:52,1900-01-01 16:21:44,0:24:52,
86,12052000_12052000_10432,12052000_12052000_10432,,home,5,1900-01-01 16:45:10,1900-01-02 00:00:00,7:14:50,
87,12052000_12052000_10477,12052000_12052000_10477,,home,1,1900-01-01 00:00:00,1900-01-01 06:23:20,6:23:20,
88,12052000_12052000_10477,12052000_12052000_10477,,work,2,1900-01-01 06:23:20,1900-01-01 14:53:28,8:30:08,
89,12052000_12052000_10477,12052000_12052000_10477,,home,3,1900-01-01 14:53:28,1900-01-02 00:00:00,9:06:32,
90,12052000_12052000_10531,12052000_12052000_10531,,home,1,1900-01-01 00:00:00,1900-01-01 07:04:48,7:04:48,
91,12052000_12052000_10531,12052000_12052000_10531,,work,2,1900-01-01 07:04:48,1900-01-01 07:36:17,0:31:29,
92,12052000_12052000_10531,12052000_12052000_10531,,work,3,1900-01-01 07:36:17,1900-01-01 15:43:42,8:07:25,
93,12052000_12052000_10531,12052000_12052000_10531,,work,4,1900-01-01 15:43:42,1900-01-01 15:39:40,"-1 day, 23:55:58",
94,12052000_12052000_10531,12052000_12052000_10531,,home,5,1900-01-01 15:39:40,1900-01-02 00:00:00,8:20:20,
95,12052000_12052000_10542,12052000_12052000_10542,,home,1,1900-01-01 00:00:00,1900-01-01 07:39:54,7:39:54,
96,12052000_12052000_10542,12052000_12052000_10542,,work,2,1900-01-01 07:39:54,1900-01-01 08:41:18,1:01:24,
97,12052000_12052000_10542,12052000_12052000_10542,,work,3,1900-01-01 08:41:18,1900-01-01 16:05:19,7:24:01,
98,12052000_12052000_10542,12052000_12052000_10542,,work,4,1900-01-01 16:05:19,1900-01-01 16:19:56,0:14:37,
99,12052000_12052000_10542,12052000_12052000_10542,,home,5,1900-01-01 16:19:56,1900-01-02 00:00:00,7:40:04,
100,12052000_12052000_10543,12052000_12052000_10543,,home,1,1900-01-01 00:00:00,1900-01-01 07:28:49,7:28:49,
101,12052000_12052000_10543,12052000_12052000_10543,,work,2,1900-01-01 08:30:20,1900-01-01 16:02:54,7:32:34,
102,12052000_12052000_10543,12052000_12052000_10543,,home,3,1900-01-01 17:04:25,1900-01-02 00:00:00,6:55:35,
103,12052000_12052000_10546,12052000_12052000_10546,,home,1,1900-01-01 00:00:00,1900-01-01 08:33:27,8:33:27,
104,12052000_12052000_10546,12052000_12052000_10546,,work,2,1900-01-01 09:23:23,1900-01-01 16:36:08,7:12:45,
105,12052000_12052000_10546,12052000_12052000_10546,,home,3,1900-01-01 16:36:08,1900-01-02 00:00:00,7:23:52,
106,12052000_12052000_10572,12052000_12052000_10572,,home,1,1900-01-01 00:00:00,1900-01-01 07:42:47,7:42:47,
107,12052000_12052000_10572,12052000_12052000_10572,,work,2,1900-01-01 07:42:47,1900-01-01 15:55:57,8:13:10,
108,12052000_12052000_10572,12052000_12052000_10572,,home,3,1900-01-01 15:55:57,1900-01-02 00:00:00,8:04:03,
109,12052000_12052000_10593,12052000_12052000_10593,,home,1,1900-01-01 00:00:00,1900-01-01 06:45:49,6:45:49,
110,12052000_12052000_10593,12052000_12052000_10593,,work,2,1900-01-01 06:45:49,1900-01-01 15:33:20,8:47:31,
111,12052000_12052000_10593,12052000_12052000_10593,,home,3,1900-01-01 15:33:20,1900-01-02 00:00:00,8:26:40,
112,12052000_12052000_1060,12052000_12052000_1060,,home,1,1900-01-01 00:00:00,1900-01-01 07:28:16,7:28:16,
113,12052000_12052000_1060,12052000_12052000_1060,,work,2,1900-01-01 07:44:07,1900-01-01 07:52:52,0:08:45,
114,12052000_12052000_1060,12052000_12052000_1060,,work,3,1900-01-01 07:52:52,1900-01-01 15:24:28,7:31:36,
115,12052000_12052000_1060,12052000_12052000_1060,,work,4,1900-01-01 15:24:28,1900-01-01 15:50:29,0:26:01,
116,12052000_12052000_1060,12052000_12052000_1060,,home,5,1900-01-01 16:06:20,1900-01-02 00:00:00,7:53:40,
117,12052000_12052000_10603,12052000_12052000_10603,,home,1,1900-01-01 00:00:00,1900-01-01 08:24:16,8:24:16,
118,12052000_12052000_10603,12052000_12052000_10603,,work,2,1900-01-01 08:24:16,1900-01-01 16:03:54,7:39:38,
119,12052000_12052000_10603,12052000_12052000_10603,,home,3,1900-01-01 16:03:54,1900-01-02 00:00:00,7:56:06,
120,12052000_12052000_10606,12052000_12052000_10606,,home,1,1900-01-01 00:00:00,1900-01-01 07:40:25,7:40:25,
121,12052000_12052000_10606,12052000_12052000_10606,,work,2,1900-01-01 07:40:25,1900-01-01 15:29:24,7:48:59,
122,12052000_12052000_10606,12052000_12052000_10606,,home,3,1900-01-01 15:29:24,1900-01-02 00:00:00,8:30:36,
123,12052000_12052000_10631,12052000_12052000_10631,,home,1,1900-01-01 00:00:00,1900-01-01 07:05:07,7:05:07,
124,12052000_12052000_10631,12052000_12052000_10631,,work,2,1900-01-01 07:05:07,1900-01-01 14:36:05,7:30:58,
125,12052000_12052000_10631,12052000_12052000_10631,,home,3,1900-01-01 14:36:05,1900-01-02 00:00:00,9:23:55,
126,12052000_12052000_10646,12052000_12052000_10646,,home,1,1900-01-01 00:00:00,1900-01-01 06:37:20,6:37:20,
127,12052000_12052000_10646,12052000_12052000_10646,,work,2,1900-01-01 07:43:22,1900-01-01 06:53:34,"-1 day, 23:10:12",
128,12052000_12052000_10646,12052000_12052000_10646,,work,3,1900-01-01 06:53:34,1900-01-01 14:34:47,7:41:13,
129,12052000_12052000_10646,12052000_12052000_10646,,work,4,1900-01-01 14:34:47,1900-01-01 15:25:56,0:51:09,
130,12052000_12052000_10646,12052000_12052000_10646,,home,5,1900-01-01 15:25:56,1900-01-02 00:00:00,8:34:04,
131,12052000_12052000_10649,12052000_12052000_10649,,home,1,1900-01-01 00:00:00,1900-01-01 08:00:17,8:00:17,
132,12052000_12052000_10649,12052000_12052000_10649,,work,2,1900-01-01 08:25:49,1900-01-01 16:28:02,8:02:13,
133,12052000_12052000_10649,12052000_12052000_10649,,home,3,1900-01-01 16:53:34,1900-01-02 00:00:00,7:06:26,
134,12052000_12052000_10659,12052000_12052000_10659,,home,1,1900-01-01 00:00:00,1900-01-01 06:44:44,6:44:44,
135,12052000_12052000_10659,12052000_12052000_10659,,work,2,1900-01-01 06:44:44,1900-01-01 15:27:20,8:42:36,
136,12052000_12052000_10659,12052000_12052000_10659,,home,3,1900-01-01 15:27:20,1900-01-02 00:00:00,8:32:40,
137,12052000_12052000_10679,12052000_12052000_10679,,home,1,1900-01-01 00:00:00,1900-01-01 07:46:22,7:46:22,
138,12052000_12052000_10679,12052000_12052000_10679,,work,2,1900-01-01 07:46:22,1900-01-01 15:00:55,7:14:33,
139,12052000_12052000_10679,12052000_12052000_10679,,home,3,1900-01-01 15:00:55,1900-01-02 00:00:00,8:59:05,
140,12052000_12052000_10684,12052000_12052000_10684,,home,1,1900-01-01 00:00:00,1900-01-01 08:01:46,8:01:46,
141,12052000_12052000_10684,12052000_12052000_10684,,work,2,1900-01-01 08:09:07,1900-01-01 08:51:18,0:42:11,
142,12052000_12052000_10684,12052000_12052000_10684,,work,3,1900-01-01 08:51:18,1900-01-01 15:40:11,6:48:53,
143,12052000_12052000_10684,12052000_12052000_10684,,work,4,1900-01-01 15:40:11,1900-01-01 15:27:57,"-1 day, 23:47:46",
144,12052000_12052000_10684,12052000_12052000_10684,,home,5,1900-01-01 15:35:18,1900-01-02 00:00:00,8:24:42,
145,12052000_12052000_10699,12052000_12052000_10699,,home,1,1900-01-01 00:00:00,1900-01-01 07:33:13,7:33:13,
146,12052000_12052000_10699,12052000_12052000_10699,,work,2,1900-01-01 07:33:13,1900-01-01 08:09:01,0:35:48,
147,12052000_12052000_10699,12052000_12052000_10699,,work,3,1900-01-01 08:09:01,1900-01-01 15:35:15,7:26:14,
148,12052000_12052000_10699,12052000_12052000_10699,,work,4,1900-01-01 15:35:15,1900-01-01 15:42:47,0:07:32,
149,12052000_12052000_10699,12052000_12052000_10699,,home,5,1900-01-01 15:42:47,1900-01-02 00:00:00,8:17:13,
150,12052000_12052000_10719,12052000_12052000_10719,,home,1,1900-01-01 00:00:00,1900-01-01 06:53:13,6:53:13,
151,12052000_12052000_10719,12052000_12052000_10719,,work,2,1900-01-01 06:53:13,1900-01-01 07:20:19,0:27:06,
152,12052000_12052000_10719,12052000_12052000_10719,,work,3,1900-01-01 07:20:19,1900-01-01 14:49:16,7:28:57,
153,12052000_12052000_10719,12052000_12052000_10719,,work,4,1900-01-01 14:49:16,1900-01-01 15:13:25,0:24:09,
154,12052000_12052000_10719,12052000_12052000_10719,,home,5,1900-01-01 15:13:25,1900-01-02 00:00:00,8:46:35,
155,12052000_12052000_10725,12052000_12052000_10725,,home,1,1900-01-01 00:00:00,1900-01-01 07:20:15,7:20:15,
156,12052000_12052000_10725,12052000_12052000_10725,,work,2,1900-01-01 07:20:15,1900-01-01 15:25:13,8:04:58,
157,12052000_12052000_10725,12052000_12052000_10725,,home,3,1900-01-01 15:25:13,1900-01-02 00:00:00,8:34:47,
158,12052000_12052000_1079,12052000_12052000_1079,,home,1,1900-01-01 00:00:00,1900-01-01 07:33:55,7:33:55,
159,12052000_12052000_1079,12052000_12052000_1079,,work,2,1900-01-01 07:33:55,1900-01-01 16:09:39,8:35:44,
160,12052000_12052000_1079,12052000_12052000_1079,,home,3,1900-01-01 16:09:39,1900-01-02 00:00:00,7:50:21,
161,12052000_12052000_10813,12052000_12052000_10813,,home,1,1900-01-01 00:00:00,1900-01-01 06:50:48,6:50:48,
162,12052000_12052000_10813,12052000_12052000_10813,,work,2,1900-01-01 06:50:48,1900-01-01 15:16:41,8:25:53,
163,12052000_12052000_10813,12052000_12052000_10813,,home,3,1900-01-01 15:16:41,1900-01-02 00:00:00,8:43:19,
164,12052000_12052000_10821,12052000_12052000_10821,,home,1,1900-01-01 00:00:00,1900-01-01 06:39:58,6:39:58,
165,12052000_12052000_10821,12052000_12052000_10821,,work,2,1900-01-01 06:39:58,1900-01-01 14:51:01,8:11:03,
166,12052000_12052000_10821,12052000_12052000_10821,,home,3,1900-01-01 15:21:15,1900-01-02 00:00:00,8:38:45,
167,12052000_12052000_10826,12052000_12052000_10826,,home,1,1900-01-01 00:00:00,1900-01-01 07:31:20,7:31:20,
168,12052000_12052000_10826,12052000_12052000_10826,,work,2,1900-01-01 07:31:20,1900-01-01 17:03:45,9:32:25,
169,12052000_12052000_10826,12052000_12052000_10826,,home,3,1900-01-01 17:03:45,1900-01-02 00:00:00,6:56:15,
170,12052000_12052000_10827,12052000_12052000_10827,,home,1,1900-01-01 00:00:00,1900-01-01 07:53:35,7:53:35,
171,12052000_12052000_10827,12052000_12052000_10827,,work,2,1900-01-01 07:53:35,1900-01-01 16:33:44,8:40:09,
172,12052000_12052000_10827,12052000_12052000_10827,,home,3,1900-01-01 16:33:44,1900-01-02 00:00:00,7:26:16,
173,12052000_12052000_10834,12052000_12052000_10834,,home,1,1900-01-01 00:00:00,1900-01-01 07:05:30,7:05:30,
174,12052000_12052000_10834,12052000_12052000_10834,,work,2,1900-01-01 07:05:30,1900-01-01 15:24:15,8:18:45,
175,12052000_12052000_10834,12052000_12052000_10834,,home,3,1900-01-01 15:24:15,1900-01-02 00:00:00,8:35:45,
176,12052000_12052000_10869,12052000_12052000_10869,,home,1,1900-01-01 00:00:00,1900-01-01 07:01:48,7:01:48,
177,12052000_12052000_10869,12052000_12052000_10869,,work,2,1900-01-01 07:01:48,1900-01-01 15:27:03,8:25:15,
178,12052000_12052000_10869,12052000_12052000_10869,,home,3,1900-01-01 15:27:03,1900-01-02 00:00:00,8:32:57,
179,12052000_12052000_10898,12052000_12052000_10898,,home,1,1900-01-01 00:00:00,1900-01-01 06:46:05,6:46:05,
180,12052000_12052000_10898,12052000_12052000_10898,,work,2,1900-01-01 06:46:05,1900-01-01 15:06:17,8:20:12,
181,12052000_12052000_10898,12052000_12052000_10898,,home,3,1900-01-01 15:06:17,1900-01-02 00:00:00,8:53:43,
182,12052000_12052000_10905,12052000_12052000_10905,,home,1,1900-01-01 00:00:00,1900-01-01 06:45:27,6:45:27,
183,12052000_12052000_10905,12052000_12052000_10905,,work,2,1900-01-01 06:45:27,1900-01-01 15:23:41,8:38:14,
184,12052000_12052000_10905,12052000_12052000_10905,,home,3,1900-01-01 15:23:41,1900-01-02 00:00:00,8:36:19,
185,12052000_12052000_10936,12052000_12052000_10936,,home,1,1900-01-01 00:00:00,1900-01-01 06:30:40,6:30:40,
186,12052000_12052000_10936,12052000_12052000_10936,,work,2,1900-01-01 06:38:15,1900-01-01 07:00:14,0:21:59,
187,12052000_12052000_10936,12052000_12052000_10936,,work,3,1900-01-01 07:00:14,1900-01-01 14:56:28,7:56:14,
188,12052000_12052000_10936,12052000_12052000_10936,,work,4,1900-01-01 14:56:28,1900-01-01 15:21:50,0:25:22,
189,12052000_12052000_10936,12052000_12052000_10936,,home,5,1900-01-01 15:29:25,1900-01-02 00:00:00,8:30:35,
190,12052000_12052000_10957,12052000_12052000_10957,,home,1,1900-01-01 00:00:00,1900-01-01 07:29:06,7:29:06,
191,12052000_12052000_10957,12052000_12052000_10957,,work,2,1900-01-01 07:29:06,1900-01-01 15:51:57,8:22:51,
192,12052000_12052000_10957,12052000_12052000_10957,,home,3,1900-01-01 15:51:57,1900-01-02 00:00:00,8:08:03,
193,12052000_12052000_1099,12052000_12052000_1099,,home,1,1900-01-01 00:00:00,1900-01-01 06:13:16,6:13:16,
194,12052000_12052000_1099,12052000_12052000_1099,,work,2,1900-01-01 06:13:16,1900-01-01 14:59:48,8:46:32,
195,12052000_12052000_1099,12052000_12052000_1099,,home,3,1900-01-01 14:59:48,1900-01-02 00:00:00,9:00:12,
196,12052000_12052000_10994,12052000_12052000_10994,,home,1,1900-01-01 00:00:00,1900-01-01 06:56:19,6:56:19,
197,12052000_12052000_10994,12052000_12052000_10994,,work,2,1900-01-01 06:56:19,1900-01-01 14:48:21,7:52:02,
198,12052000_12052000_10994,12052000_12052000_10994,,home,3,1900-01-01 14:48:21,1900-01-02 00:00:00,9:11:39,
199,12052000_12052000_10998,12052000_12052000_10998,,home,1,1900-01-01 00:00:00,1900-01-01 08:24:16,8:24:16,
200,12052000_12052000_10998,12052000_12052000_10998,,work,2,1900-01-01 08:24:16,1900-01-01 16:27:37,8:03:21,
201,12052000_12052000_10998,12052000_12052000_10998,,home,3,1900-01-01 16:27:37,1900-01-02 00:00:00,7:32:23,
202,12052000_12052000_11003,12052000_12052000_11003,,home,1,1900-01-01 00:00:00,1900-01-01 07:20:54,7:20:54,
203,12052000_12052000_11003,12052000_12052000_11003,,work,2,1900-01-01 07:20:54,1900-01-01 15:16:10,7:55:16,
204,12052000_12052000_11003,12052000_12052000_11003,,home,3,1900-01-01 15:16:10,1900-01-02 00:00:00,8:43:50,
205,12052000_12052000_11027,12052000_12052000_11027,,home,1,1900-01-01 00:00:00,1900-01-01 07:37:29,7:37:29,
206,12052000_12052000_11027,12052000_12052000_11027,,work,2,1900-01-01 07:37:29,1900-01-01 16:09:12,8:31:43,
207,12052000_12052000_11027,12052000_12052000_11027,,home,3,1900-01-01 16:09:12,1900-01-02 00:00:00,7:50:48,
208,12052000_12052000_11041,12052000_12052000_11041,,home,1,1900-01-01 00:00:00,1900-01-01 07:28:24,7:28:24,
209,12052000_12052000_11041,12052000_12052000_11041,,work,2,1900-01-01 07:28:24,1900-01-01 08:16:35,0:48:11,
210,12052000_12052000_11041,12052000_12052000_11041,,work,3,1900-01-01 08:16:35,1900-01-01 16:24:49,8:08:14,
211,12052000_12052000_11041,12052000_12052000_11041,,work,4,1900-01-01 16:24:49,1900-01-01 16:20:50,"-1 day, 23:56:01",
212,12052000_12052000_11041,12052000_12052000_11041,,home,5,1900-01-01 16:20:50,1900-01-02 00:00:00,7:39:10,
213,12052000_12052000_11042,12052000_12052000_11042,,home,1,1900-01-01 00:00:00,1900-01-01 07:42:36,7:42:36,
214,12052000_12052000_11042,12052000_12052000_11042,,work,2,1900-01-01 07:42:36,1900-01-01 15:16:11,7:33:35,
215,12052000_12052000_11042,12052000_12052000_11042,,home,3,1900-01-01 15:16:11,1900-01-02 00:00:00,8:43:49,
216,12052000_12052000_11081,12052000_12052000_11081,,home,1,1900-01-01 00:00:00,1900-01-01 07:54:59,7:54:59,
217,12052000_12052000_11081,12052000_12052000_11081,,work,2,1900-01-01 08:11:34,1900-01-01 15:43:12,7:31:38,
218,12052000_12052000_11081,12052000_12052000_11081,,home,3,1900-01-01 15:59:47,1900-01-02 00:00:00,8:00:13,
219,12052000_12052000_11090,12052000_12052000_11090,,home,1,1900-01-01 00:00:00,1900-01-01 07:53:34,7:53:34,
220,12052000_12052000_11090,12052000_12052000_11090,,work,2,1900-01-01 07:53:34,1900-01-01 16:08:46,8:15:12,
221,12052000_12052000_11090,12052000_12052000_11090,,home,3,1900-01-01 16:08:46,1900-01-02 00:00:00,7:51:14,
222,12052000_12052000_11117,12052000_12052000_11117,,home,1,1900-01-01 00:00:00,1900-01-01 06:57:05,6:57:05,
223,12052000_12052000_11117,12052000_12052000_11117,,work,2,1900-01-01 06:57:05,1900-01-01 15:27:57,8:30:52,
