pid,hid,freq,hzone
12052000_12052000_12390,12052000_12052000_12390,100,
12052000_12052000_12410,12052000_12052000_12410,100,
12052000_12052000_12412,12052000_12052000_12412,100,
12052000_12052000_12533,12052000_12052000_12533,100,
12052000_12052000_12552,12052000_12052000_12552,100,
12052000_12052000_12566,12052000_12052000_12566,100,
12052000_12052000_12575,12052000_12052000_12575,100,
12052000_12052000_1258,12052000_12052000_1258,100,
12052000_12052000_12580,12052000_12052000_12580,100,
12052000_12052000_12587,12052000_12052000_12587,100,
12052000_12052000_1261,12052000_12052000_1261,100,
12052000_12052000_12622,12052000_12052000_12622,100,
12052000_12052000_1265,12052000_12052000_1265,100,
12052000_12052000_12655,12052000_12052000_12655,100,
12052000_12052000_1268,12052000_12052000_1268,100,
12052000_12052000_1269,12052000_12052000_1269,100,
12052000_12052000_12750,12052000_12052000_12750,100,
12052000_12052000_12756,12052000_12052000_12756,100,
12052000_12052000_1277,12052000_12052000_1277,100,
12052000_12052000_12792,12052000_12052000_12792,100,
12052000_12052000_12800,12052000_12052000_12800,100,
12052000_12052000_12811,12052000_12052000_12811,100,
12052000_12052000_12840,12052000_12052000_12840,100,
12052000_12052000_12853,12052000_12052000_12853,100,
12052000_12052000_12897,12052000_12052000_12897,100,
12052000_12052000_12898,12052000_12052000_12898,100,
12052000_12052000_12977,12052000_12052000_12977,100,
12052000_12052000_12980,12052000_12052000_12980,100,
12052000_12052000_12991,12052000_12052000_12991,100,
12052000_12052000_13022,12052000_12052000_13022,100,
12052000_12052000_13041,12052000_12052000_13041,100,
12052000_12052000_13068,12052000_12052000_13068,100,
12052000_12052000_13084,12052000_12052000_13084,100,
12052000_12052000_13088,12052000_12052000_13088,100,
12052000_12052000_1309,12052000_12052000_1309,100,
12052000_12052000_13101,12052000_12052000_13101,100,
12052000_12052000_13152,12052000_12052000_13152,100,
12052000_12052000_13168,12052000_12052000_13168,100,
12052000_12052000_13179,12052000_12052000_13179,100,
12052000_12052000_13215,12052000_12052000_13215,100,
12052000_12052000_13235,12052000_12052000_13235,100,
12052000_12052000_13278,12052000_12052000_13278,100,
12052000_12052000_13280,12052000_12052000_13280,100,
12052000_12052000_13285,12052000_12052000_13285,100,
12052000_12052000_13299,12052000_12052000_13299,100,
12052000_12052000_1330,12052000_12052000_1330,100,
12052000_12052000_13314,12052000_12052000_13314,100,
12052000_12052000_13316,12052000_12052000_13316,100,
12052000_12052000_13374,12052000_12052000_13374,100,
12052000_12052000_13376,12052000_12052000_13376,100,
12052000_12052000_13398,12052000_12052000_13398,100,
12052000_12052000_13436,12052000_12052000_13436,100,
12052000_12052000_13444,12052000_12052000_13444,100,
12052000_12052000_13463,12052000_12052000_13463,100,
12052000_12052000_13471,12052000_12052000_13471,100,
12052000_12052000_13478,12052000_12052000_13478,100,
12052000_12052000_13492,12052000_12052000_13492,100,
12052000_12052000_13498,12052000_12052000_13498,100,
12052000_12052000_13523,12052000_12052000_13523,100,
12052000_12052000_13554,12052000_12052000_13554,100,
12052000_12052000_1356,12052000_12052000_1356,100,
12052000_12052000_13576,12052000_12052000_13576,100,
12052000_12052000_13582,12052000_12052000_13582,100,
12052000_12052000_1360,12052000_12052000_1360,100,
12052000_12052000_13604,12052000_12052000_13604,100,
12052000_12052000_13666,12052000_12052000_13666,100,
12052000_12052000_13681,12052000_12052000_13681,100,
12052000_12052000_13682,12052000_12052000_13682,100,
12052000_12052000_13699,12052000_12052000_13699,100,
12052000_12052000_13754,12052000_12052000_13754,100,
12052000_12052000_13756,12052000_12052000_13756,100,
12052000_12052000_13766,12052000_12052000_13766,100,
12052000_12052000_13786,12052000_12052000_13786,100,
12052000_12052000_138,12052000_12052000_138,100,
12052000_12052000_13805,12052000_12052000_13805,100,
12052000_12052000_13809,12052000_12052000_13809,100,
12052000_12052000_13859,12052000_12052000_13859,100,
12052000_12052000_13894,12052000_12052000_13894,100,
12052000_12052000_13913,12052000_12052000_13913,100,
12052000_12052000_13916,12052000_12052000_13916,100,
12052000_12052000_13926,12052000_12052000_13926,100,
12052000_12052000_13932,12052000_12052000_13932,100,
12052000_12052000_13942,12052000_12052000_13942,100,
12052000_12052000_13959,12052000_12052000_13959,100,
12052000_12052000_13977,12052000_12052000_13977,100,
12052000_12052000_1401,12052000_12052000_1401,100,
12052000_12052000_14038,12052000_12052000_14038,100,
12052000_12052000_14054,12052000_12052000_14054,100,
12052000_12052000_14080,12052000_12052000_14080,100,
12052000_12052000_14089,12052000_12052000_14089,100,
12052000_12052000_14092,12052000_12052000_14092,100,
12052000_12052000_14098,12052000_12052000_14098,100,
12052000_12052000_14100,12052000_12052000_14100,100,
12052000_12052000_1411,12052000_12052000_1411,100,
12052000_12052000_14117,12052000_12052000_14117,100,
12052000_12052000_14122,12052000_12052000_14122,100,
12052000_12052000_14135,12052000_12052000_14135,100,
12052000_12052000_14150,12052000_12052000_14150,100,
12052000_12052000_1417,12052000_12052000_1417,100,
12052000_12052000_14191,12052000_12052000_14191,100,
12052000_12052000_14207,12052000_12052000_14207,100,
12052000_12052000_14223,12052000_12052000_14223,100,
12052000_12052000_14225,12052000_12052000_14225,100,
12052000_12052000_14227,12052000_12052000_14227,100,
12052000_12052000_14242,12052000_12052000_14242,100,
12052000_12052000_1425,12052000_12052000_1425,100,
12052000_12052000_14255,12052000_12052000_14255,100,
12052000_12052000_14256,12052000_12052000_14256,100,
12052000_12052000_14261,12052000_12052000_14261,100,
12052000_12052000_14277,12052000_12052000_14277,100,
12052000_12052000_14297,12052000_12052000_14297,100,
12052000_12052000_14317,12052000_12052000_14317,100,
12052000_12052000_1435,12052000_12052000_1435,100,
12052000_12052000_14386,12052000_12052000_14386,100,
12052000_12052000_14403,12052000_12052000_14403,100,
12052000_12052000_14471,12052000_12052000_14471,100,
12052000_12052000_14487,12052000_12052000_14487,100,
12052000_12052000_14511,12052000_12052000_14511,100,
12052000_12052000_14555,12052000_12052000_14555,100,
12052000_12052000_14631,12052000_12052000_14631,100,
12052000_12052000_1466,12052000_12052000_1466,100,
12052000_12052000_14671,12052000_12052000_14671,100,
12052000_12052000_14692,12052000_12052000_14692,100,
12052000_12052000_14709,12052000_12052000_14709,100,
12052000_12052000_14746,12052000_12052000_14746,100,
12052000_12052000_14778,12052000_12052000_14778,100,
12052000_12052000_14782,12052000_12052000_14782,100,
12052000_12052000_14795,12052000_12052000_14795,100,
12052000_12052000_14815,12052000_12052000_14815,100,
12052000_12052000_14827,12052000_12052000_14827,100,
12052000_12052000_14831,12052000_12052000_14831,100,
12052000_12052000_14838,12052000_12052000_14838,100,
12052000_12052000_14865,12052000_12052000_14865,100,
12052000_12052000_14879,12052000_12052000_14879,100,
12052000_12052000_14884,12052000_12052000_14884,100,
12052000_12052000_14885,12052000_12052000_14885,100,
12052000_12052000_14929,12052000_12052000_14929,100,
12052000_12052000_14955,12052000_12052000_14955,100,
12052000_12052000_14970,12052000_12052000_14970,100,
12052000_12052000_14978,12052000_12052000_14978,100,
12052000_12052000_14979,12052000_12052000_14979,100,
12052000_12052000_14988,12052000_12052000_14988,100,
12052000_12052000_14991,12052000_12052000_14991,100,
12052000_12052000_14992,12052000_12052000_14992,100,
12052000_12052000_14997,12052000_12052000_14997,100,
12052000_12052000_15037,12052000_12052000_15037,100,
12052000_12052000_15072,12052000_12052000_15072,100,
12052000_12052000_1508,12052000_12052000_1508,100,
12052000_12052000_15083,12052000_12052000_15083,100,
12052000_12052000_15090,12052000_12052000_15090,100,
12052000_12052000_15098,12052000_12052000_15098,100,
12052000_12052000_1511,12052000_12052000_1511,100,
12052000_12052000_15141,12052000_12052000_15141,100,
12052000_12052000_15151,12052000_12052000_15151,100,
12052000_12052000_15158,12052000_12052000_15158,100,
12052000_12052000_15163,12052000_12052000_15163,100,
12052000_12052000_15182,12052000_12052000_15182,100,
12052000_12052000_1519,12052000_12052000_1519,100,
12052000_12052000_15215,12052000_12052000_15215,100,
12052000_12052000_15227,12052000_12052000_15227,100,
12052000_12052000_15255,12052000_12052000_15255,100,
12052000_12052000_15259,12052000_12052000_15259,100,
12052000_12052000_15287,12052000_12052000_15287,100,
12052000_12052000_15304,12052000_12052000_15304,100,
12052000_12052000_1532,12052000_12052000_1532,100,
12052000_12052000_15363,12052000_12052000_15363,100,
12052000_12052000_15368,12052000_12052000_15368,100,
12052000_12052000_15377,12052000_12052000_15377,100,
12052000_12052000_15445,12052000_12052000_15445,100,
12052000_12052000_15459,12052000_12052000_15459,100,
12052000_12052000_15478,12052000_12052000_15478,100,
12052000_12052000_15518,12052000_12052000_15518,100,
12052000_12052000_15549,12052000_12052000_15549,100,
12052000_12052000_15551,12052000_12052000_15551,100,
12052000_12052000_15556,12052000_12052000_15556,100,
12052000_12052000_15561,12052000_12052000_15561,100,
12052000_12052000_15641,12052000_12052000_15641,100,
12052000_12052000_15675,12052000_12052000_15675,100,
12052000_12052000_15701,12052000_12052000_15701,100,
12052000_12052000_15715,12052000_12052000_15715,100,
12052000_12052000_15723,12052000_12052000_15723,100,
12052000_12052000_15727,12052000_12052000_15727,100,
12052000_12052000_15733,12052000_12052000_15733,100,
12052000_12052000_15751,12052000_12052000_15751,100,
12052000_12052000_15779,12052000_12052000_15779,100,
12052000_12052000_15818,12052000_12052000_15818,100,
12052000_12052000_15828,12052000_12052000_15828,100,
12052000_12052000_15844,12052000_12052000_15844,100,
12052000_12052000_15870,12052000_12052000_15870,100,
12052000_12052000_15880,12052000_12052000_15880,100,
12052000_12052000_15888,12052000_12052000_15888,100,
12052000_12052000_15891,12052000_12052000_15891,100,
12052000_12052000_15900,12052000_12052000_15900,100,
12052000_12052000_15946,12052000_12052000_15946,100,
12052000_12052000_15959,12052000_12052000_15959,100,
12052000_12052000_15971,12052000_12052000_15971,100,
12052000_12052000_16,12052000_12052000_16,100,
12052000_12052000_16018,12052000_12052000_16018,100,
12052000_12052000_16020,12052000_12052000_16020,100,
12052000_12052000_16036,12052000_12052000_16036,100,
12052000_12052000_16038,12052000_12052000_16038,100,
12052000_12052000_16084,12052000_12052000_16084,100,
12052000_12052000_1610,12052000_12052000_1610,100,
12052000_12052000_16107,12052000_12052000_16107,100,
12052000_12052000_16115,12052000_12052000_16115,100,
12052000_12052000_16130,12052000_12052000_16130,100,
12052000_12052000_1616,12052000_12052000_1616,100,
12052000_12052000_16167,12052000_12052000_16167,100,
12052000_12052000_1617,12052000_12052000_1617,100,
12052000_12052000_16185,12052000_12052000_16185,100,
12052000_12052000_16206,12052000_12052000_16206,100,
12052000_12052000_16233,12052000_12052000_16233,100,
12052000_12052000_16238,12052000_12052000_16238,100,
12052000_12052000_16279,12052000_12052000_16279,100,
12052000_12052000_1628,12052000_12052000_1628,100,
12052000_12052000_16353,12052000_12052000_16353,100,
12052000_12052000_16357,12052000_12052000_16357,100,
12052000_12052000_16359,12052000_12052000_16359,100,
12052000_12052000_16376,12052000_12052000_16376,100,
12052000_12052000_1638,12052000_12052000_1638,100,
12052000_12052000_16391,12052000_12052000_16391,100,
12052000_12052000_1643,12052000_12052000_1643,100,
12052000_12052000_16430,12052000_12052000_16430,100,
12052000_12052000_16431,12052000_12052000_16431,100,
12052000_12052000_16445,12052000_12052000_16445,100,
12052000_12052000_1646,12052000_12052000_1646,100,
12052000_12052000_16468,12052000_12052000_16468,100,
12052000_12052000_16483,12052000_12052000_16483,100,
12052000_12052000_16490,12052000_12052000_16490,100,
12052000_12052000_16499,12052000_12052000_16499,100,
12052000_12052000_1650,12052000_12052000_1650,100,
12052000_12052000_16505,12052000_12052000_16505,100,
12052000_12052000_16511,12052000_12052000_16511,100,
12052000_12052000_16512,12052000_12052000_16512,100,
12052000_12052000_16544,12052000_12052000_16544,100,
12052000_12052000_16583,12052000_12052000_16583,100,
12052000_12052000_16593,12052000_12052000_16593,100,
12052000_12052000_16595,12052000_12052000_16595,100,
12052000_12052000_16599,12052000_12052000_16599,100,
12052000_12052000_16650,12052000_12052000_16650,100,
12052000_12052000_16667,12052000_12052000_16667,100,
12052000_12052000_16685,12052000_12052000_16685,100,
12052000_12052000_16735,12052000_12052000_16735,100,
12052000_12052000_16740,12052000_12052000_16740,100,
12052000_12052000_16744,12052000_12052000_16744,100,
12052000_12052000_16766,12052000_12052000_16766,100,
12052000_12052000_16777,12052000_12052000_16777,100,
12052000_12052000_16805,12052000_12052000_16805,100,
12052000_12052000_16817,12052000_12052000_16817,100,
12052000_12052000_16819,12052000_12052000_16819,100,
12052000_12052000_1683,12052000_12052000_1683,100,
12052000_12052000_16833,12052000_12052000_16833,100,
12052000_12052000_16865,12052000_12052000_16865,100,
12052000_12052000_16888,12052000_12052000_16888,100,
12052000_12052000_16921,12052000_12052000_16921,100,
12052000_12052000_16925,12052000_12052000_16925,100,
12052000_12052000_16930,12052000_12052000_16930,100,
12052000_12052000_16939,12052000_12052000_16939,100,
12052000_12052000_16948,12052000_12052000_16948,100,
12052000_12052000_17008,12052000_12052000_17008,100,
12052000_12052000_17017,12052000_12052000_17017,100,
12052000_12052000_17024,12052000_12052000_17024,100,
12052000_12052000_1706,12052000_12052000_1706,100,
12052000_12052000_1707,12052000_12052000_1707,100,
12052000_12052000_17083,12052000_12052000_17083,100,
12052000_12052000_17096,12052000_12052000_17096,100,
12052000_12052000_17111,12052000_12052000_17111,100,
12052000_12052000_17118,12052000_12052000_17118,100,
12052000_12052000_17127,12052000_12052000_17127,100,
12052000_12052000_17145,12052000_12052000_17145,100,
12052000_12052000_17148,12052000_12052000_17148,100,
12052000_12052000_17155,12052000_12052000_17155,100,
12052000_12052000_17213,12052000_12052000_17213,100,
12052000_12052000_17283,12052000_12052000_17283,100,
12052000_12052000_17291,12052000_12052000_17291,100,
12052000_12052000_17319,12052000_12052000_17319,100,
12052000_12052000_17341,12052000_12052000_17341,100,
12052000_12052000_1735,12052000_12052000_1735,100,
12052000_12052000_17368,12052000_12052000_17368,100,
12052000_12052000_17371,12052000_12052000_17371,100,
12052000_12052000_17388,12052000_12052000_17388,100,
12052000_12052000_17424,12052000_12052000_17424,100,
12052000_12052000_17431,12052000_12052000_17431,100,
12052000_12052000_17435,12052000_12052000_17435,100,
12052000_12052000_1744,12052000_12052000_1744,100,
12052000_12052000_17441,12052000_12052000_17441,100,
12052000_12052000_17455,12052000_12052000_17455,100,
12052000_12052000_17456,12052000_12052000_17456,100,
12052000_12052000_17490,12052000_12052000_17490,100,
12052000_12052000_17503,12052000_12052000_17503,100,
12052000_12052000_17508,12052000_12052000_17508,100,
12052000_12052000_17526,12052000_12052000_17526,100,
12052000_12052000_17529,12052000_12052000_17529,100,
12052000_12052000_17537,12052000_12052000_17537,100,
12052000_12052000_17539,12052000_12052000_17539,100,
12052000_12052000_17540,12052000_12052000_17540,100,
12052000_12052000_17547,12052000_12052000_17547,100,
12052000_12052000_17556,12052000_12052000_17556,100,
12052000_12052000_17569,12052000_12052000_17569,100,
12052000_12052000_17585,12052000_12052000_17585,100,
12052000_12052000_17596,12052000_12052000_17596,100,
12052000_12052000_17601,12052000_12052000_17601,100,
12052000_12052000_17602,12052000_12052000_17602,100,
12052000_12052000_17609,12052000_12052000_17609,100,
12052000_12052000_17628,12052000_12052000_17628,100,
12052000_12052000_17631,12052000_12052000_17631,100,
12052000_12052000_17634,12052000_12052000_17634,100,
12052000_12052000_17661,12052000_12052000_17661,100,
12052000_12052000_17663,12052000_12052000_17663,100,
12052000_12052000_17720,12052000_12052000_17720,100,
12052000_12052000_17747,12052000_12052000_17747,100,
12052000_12052000_17752,12052000_12052000_17752,100,
12052000_12052000_17754,12052000_12052000_17754,100,
12052000_12052000_17771,12052000_12052000_17771,100,
12052000_12052000_17792,12052000_12052000_17792,100,
12052000_12052000_17810,12052000_12052000_17810,100,
12052000_12052000_17816,12052000_12052000_17816,100,
12052000_12052000_17821,12052000_12052000_17821,100,
12052000_12052000_17840,12052000_12052000_17840,100,
12052000_12052000_17850,12052000_12052000_17850,100,
12052000_12052000_17869,12052000_12052000_17869,100,
12052000_12052000_17884,12052000_12052000_17884,100,
12052000_12052000_17887,12052000_12052000_17887,100,
12052000_12052000_17899,12052000_12052000_17899,100,
12052000_12052000_1790,12052000_12052000_1790,100,
12052000_12052000_17926,12052000_12052000_17926,100,
12052000_12052000_17945,12052000_12052000_17945,100,
12052000_12052000_17965,12052000_12052000_17965,100,
12052000_12052000_17966,12052000_12052000_17966,100,
12052000_12052000_17972,12052000_12052000_17972,100,
12052000_12052000_17979,12052000_12052000_17979,100,
12052000_12052000_17986,12052000_12052000_17986,100,
12052000_12052000_18010,12052000_12052000_18010,100,
12052000_12052000_18036,12052000_12052000_18036,100,
12052000_12052000_18045,12052000_12052000_18045,100,
12052000_12052000_18053,12052000_12052000_18053,100,
12052000_12052000_18073,12052000_12052000_18073,100,
12052000_12052000_18084,12052000_12052000_18084,100,
12052000_12052000_18088,12052000_12052000_18088,100,
12052000_12052000_18090,12052000_12052000_18090,100,
12052000_12052000_18126,12052000_12052000_18126,100,
12052000_12052000_18128,12052000_12052000_18128,100,
12052000_12052000_18132,12052000_12052000_18132,100,
12052000_12052000_18134,12052000_12052000_18134,100,
12052000_12052000_18153,12052000_12052000_18153,100,
12052000_12052000_18159,12052000_12052000_18159,100,
12052000_12052000_1817,12052000_12052000_1817,100,
12052000_12052000_18173,12052000_12052000_18173,100,
12052000_12052000_18182,12052000_12052000_18182,100,
12052000_12052000_18195,12052000_12052000_18195,100,
12052000_12052000_18204,12052000_12052000_18204,100,
12052000_12052000_18208,12052000_12052000_18208,100,
12052000_12052000_18212,12052000_12052000_18212,100,
12052000_12052000_18217,12052000_12052000_18217,100,
12052000_12052000_18220,12052000_12052000_18220,100,
12052000_12052000_18230,12052000_12052000_18230,100,
12052000_12052000_18236,12052000_12052000_18236,100,
12052000_12052000_18245,12052000_12052000_18245,100,
12052000_12052000_18258,12052000_12052000_18258,100,
12052000_12052000_18286,12052000_12052000_18286,100,
12052000_12052000_18288,12052000_12052000_18288,100,
12052000_12052000_18289,12052000_12052000_18289,100,
12052000_12052000_18301,12052000_12052000_18301,100,
12052000_12052000_18326,12052000_12052000_18326,100,
12052000_12052000_18334,12052000_12052000_18334,100,
12052000_12052000_18368,12052000_12052000_18368,100,
12052000_12052000_18376,12052000_12052000_18376,100,
12052000_12052000_18411,12052000_12052000_18411,100,
12052000_12052000_18423,12052000_12052000_18423,100,
12052000_12052000_18427,12052000_12052000_18427,100,
12052000_12052000_18449,12052000_12052000_18449,100,
12052000_12052000_1845,12052000_12052000_1845,100,
12052000_12052000_1846,12052000_12052000_1846,100,
12052000_12052000_18465,12052000_12052000_18465,100,
12052000_12052000_18478,12052000_12052000_18478,100,
12052000_12052000_18497,12052000_12052000_18497,100,
12052000_12052000_18498,12052000_12052000_18498,100,
12052000_12052000_1850,12052000_12052000_1850,100,
12052000_12052000_18518,12052000_12052000_18518,100,
12052000_12052000_1852,12052000_12052000_1852,100,
12052000_12052000_18535,12052000_12052000_18535,100,
12052000_12052000_18541,12052000_12052000_18541,100,
12052000_12052000_18561,12052000_12052000_18561,100,
12052000_12052000_18570,12052000_12052000_18570,100,
12052000_12052000_18577,12052000_12052000_18577,100,
12052000_12052000_18580,12052000_12052000_18580,100,
12052000_12052000_18589,12052000_12052000_18589,100,
12052000_12052000_18591,12052000_12052000_18591,100,
12052000_12052000_18613,12052000_12052000_18613,100,
12052000_12052000_18644,12052000_12052000_18644,100,
12052000_12052000_18648,12052000_12052000_18648,100,
12052000_12052000_18678,12052000_12052000_18678,100,
12052000_12052000_18681,12052000_12052000_18681,100,
12052000_12052000_18682,12052000_12052000_18682,100,
12052000_12052000_18689,12052000_12052000_18689,100,
12052000_12052000_18705,12052000_12052000_18705,100,
12052000_12052000_18747,12052000_12052000_18747,100,
12052000_12052000_18772,12052000_12052000_18772,100,
12052000_12052000_18780,12052000_12052000_18780,100,
12052000_12052000_18786,12052000_12052000_18786,100,
12052000_12052000_18793,12052000_12052000_18793,100,
12052000_12052000_18796,12052000_12052000_18796,100,
12052000_12052000_18798,12052000_12052000_18798,100,
12052000_12052000_18806,12052000_12052000_18806,100,
12052000_12052000_18811,12052000_12052000_18811,100,
12052000_12052000_18812,12052000_12052000_18812,100,
12052000_12052000_18841,12052000_12052000_18841,100,
12052000_12052000_18877,12052000_12052000_18877,100,
12052000_12052000_18896,12052000_12052000_18896,100,
12052000_12052000_18903,12052000_12052000_18903,100,
12052000_12052000_18911,12052000_12052000_18911,100,
12052000_12052000_18912,12052000_12052000_18912,100,
12052000_12052000_18916,12052000_12052000_18916,100,
12052000_12052000_18918,12052000_12052000_18918,100,
12052000_12052000_18927,12052000_12052000_18927,100,
12052000_12052000_18928,12052000_12052000_18928,100,
12052000_12052000_18941,12052000_12052000_18941,100,
12052000_12052000_18945,12052000_12052000_18945,100,
12052000_12052000_18957,12052000_12052000_18957,100,
12052000_12052000_18982,12052000_12052000_18982,100,
12052000_12052000_1899,12052000_12052000_1899,100,
12052000_12052000_18992,12052000_12052000_18992,100,
12052000_12052000_19007,12052000_12052000_19007,100,
12052000_12052000_19013,12052000_12052000_19013,100,
12052000_12052000_19014,12052000_12052000_19014,100,
12052000_12052000_19030,12052000_12052000_19030,100,
12052000_12052000_19036,12052000_12052000_19036,100,
12052000_12052000_19051,12052000_12052000_19051,100,
