,pid,hid,freq,ozone,dzone,purp,origin activity,destination activity,mode,seq,tst,tet,duration
29,12052000_12052000_1019,12052000_12052000_1019,,,,,work,home,drt,2,1900-01-01 15:44:16,1900-01-01 15:44:16,0:00:00
30,12052000_12052000_10197,12052000_12052000_10197,,,,work,home,work,drt,1,1900-01-01 07:18:28,1900-01-01 07:57:48,0:39:20
31,12052000_12052000_10197,12052000_12052000_10197,,,,,work,home,drt,2,1900-01-01 15:53:10,1900-01-01 16:32:30,0:39:20
32,12052000_12052000_10218,12052000_12052000_10218,,,,work,home,work,drt,1,1900-01-01 08:13:59,1900-01-01 08:13:59,0:00:00
33,12052000_12052000_10218,12052000_12052000_10218,,,,,work,home,drt,2,1900-01-01 16:02:29,1900-01-01 16:02:29,0:00:00
34,12052000_12052000_10229,12052000_12052000_10229,,,,work,home,work,drt,1,1900-01-01 08:38:51,1900-01-01 08:38:51,0:00:00
35,12052000_12052000_10229,12052000_12052000_10229,,,,,work,home,drt,2,1900-01-01 17:06:07,1900-01-01 17:06:07,0:00:00
36,12052000_12052000_10241,12052000_12052000_10241,,,,work,home,work,drt,1,1900-01-01 08:12:25,1900-01-01 08:12:25,0:00:00
37,12052000_12052000_10241,12052000_12052000_10241,,,,,work,home,drt,2,1900-01-01 15:53:35,1900-01-01 15:53:35,0:00:00
38,12052000_12052000_10288,12052000_12052000_10288,,,,work,home,work,drt,1,1900-01-01 06:07:29,1900-01-01 06:07:29,0:00:00
39,12052000_12052000_10288,12052000_12052000_10288,,,,,work,home,drt,2,1900-01-01 15:35:31,1900-01-01 15:35:31,0:00:00
40,12052000_12052000_1030,12052000_12052000_1030,,,,work,home,work,drt,1,1900-01-01 06:19:09,1900-01-01 07:09:42,0:50:33
41,12052000_12052000_1030,12052000_12052000_1030,,,,,work,home,drt,2,1900-01-01 15:00:42,1900-01-01 15:51:15,0:50:33
42,12052000_12052000_10305,12052000_12052000_10305,,,,work,home,work,drt,1,1900-01-01 07:40:30,1900-01-01 07:40:30,0:00:00
43,12052000_12052000_10305,12052000_12052000_10305,,,,,work,home,drt,2,1900-01-01 16:42:57,1900-01-01 16:42:57,0:00:00
44,12052000_12052000_10314,12052000_12052000_10314,,,,work,home,work,drt,1,1900-01-01 08:37:33,1900-01-01 08:37:33,0:00:00
45,12052000_12052000_10314,12052000_12052000_10314,,,,,work,home,drt,2,1900-01-01 17:04:38,1900-01-01 17:04:38,0:00:00
46,12052000_12052000_10344,12052000_12052000_10344,,,,work,home,work,drt,1,1900-01-01 06:10:10,1900-01-01 06:10:10,0:00:00
47,12052000_12052000_10344,12052000_12052000_10344,,,,,work,home,drt,2,1900-01-01 15:54:42,1900-01-01 15:54:42,0:00:00
48,12052000_12052000_10349,12052000_12052000_10349,,,,work,home,work,drt,1,1900-01-01 06:22:04,1900-01-01 06:22:04,0:00:00
49,12052000_12052000_10349,12052000_12052000_10349,,,,,work,home,drt,2,1900-01-01 15:38:50,1900-01-01 15:38:50,0:00:00
50,12052000_12052000_10350,12052000_12052000_10350,,,,work,home,work,drt,1,1900-01-01 06:33:33,1900-01-01 06:33:33,0:00:00
51,12052000_12052000_10350,12052000_12052000_10350,,,,,work,home,drt,2,1900-01-01 15:42:54,1900-01-01 16:25:06,0:42:12
52,12052000_12052000_10410,12052000_12052000_10410,,,,work,home,work,drt,1,1900-01-01 08:31:36,1900-01-01 08:31:36,0:00:00
53,12052000_12052000_10410,12052000_12052000_10410,,,,,work,home,drt,2,1900-01-01 16:35:11,1900-01-01 16:35:11,0:00:00
54,12052000_12052000_10430,12052000_12052000_10430,,,,work,home,work,drt,1,1900-01-01 07:29:05,1900-01-01 07:29:05,0:00:00
55,12052000_12052000_10430,12052000_12052000_10430,,,,,work,home,drt,2,1900-01-01 16:08:08,1900-01-01 16:08:08,0:00:00
56,12052000_12052000_10432,12052000_12052000_10432,,,,work,home,work,drt,1,1900-01-01 07:36:01,1900-01-01 07:36:01,0:00:00
57,12052000_12052000_10432,12052000_12052000_10432,,,,work,work,work,drt,2,1900-01-01 08:04:57,1900-01-01 08:04:57,0:00:00
58,12052000_12052000_10432,12052000_12052000_10432,,,,work,work,work,drt,3,1900-01-01 15:56:52,1900-01-01 15:56:52,0:00:00
59,12052000_12052000_10432,12052000_12052000_10432,,,,,work,home,drt,4,1900-01-01 16:21:44,1900-01-01 16:45:10,0:23:26
60,12052000_12052000_10477,12052000_12052000_10477,,,,work,home,work,drt,1,1900-01-01 06:23:20,1900-01-01 06:23:20,0:00:00
61,12052000_12052000_10477,12052000_12052000_10477,,,,,work,home,drt,2,1900-01-01 14:53:28,1900-01-01 14:53:28,0:00:00
62,12052000_12052000_10531,12052000_12052000_10531,,,,work,home,work,drt,1,1900-01-01 07:04:48,1900-01-01 07:04:48,0:00:00
63,12052000_12052000_10531,12052000_12052000_10531,,,,work,work,work,drt,2,1900-01-01 07:36:17,1900-01-01 07:36:17,0:00:00
64,12052000_12052000_10531,12052000_12052000_10531,,,,work,work,work,drt,3,1900-01-01 15:43:42,1900-01-01 15:43:42,0:00:00
65,12052000_12052000_10531,12052000_12052000_10531,,,,,work,home,drt,4,1900-01-01 15:39:40,1900-01-01 15:39:40,0:00:00
66,12052000_12052000_10542,12052000_12052000_10542,,,,work,home,work,drt,1,1900-01-01 07:39:54,1900-01-01 07:39:54,0:00:00
67,12052000_12052000_10542,12052000_12052000_10542,,,,work,work,work,drt,2,1900-01-01 08:41:18,1900-01-01 08:41:18,0:00:00
68,12052000_12052000_10542,12052000_12052000_10542,,,,work,work,work,drt,3,1900-01-01 16:05:19,1900-01-01 16:05:19,0:00:00
69,12052000_12052000_10542,12052000_12052000_10542,,,,,work,home,drt,4,1900-01-01 16:19:56,1900-01-01 16:19:56,0:00:00
70,12052000_12052000_10543,12052000_12052000_10543,,,,work,home,work,drt,1,1900-01-01 07:28:49,1900-01-01 08:30:20,1:01:31
71,12052000_12052000_10543,12052000_12052000_10543,,,,,work,home,drt,2,1900-01-01 16:02:54,1900-01-01 17:04:25,1:01:31
72,12052000_12052000_10546,12052000_12052000_10546,,,,work,home,work,drt,1,1900-01-01 08:33:27,1900-01-01 09:23:23,0:49:56
73,12052000_12052000_10546,12052000_12052000_10546,,,,,work,home,drt,2,1900-01-01 16:36:08,1900-01-01 16:36:08,0:00:00
74,12052000_12052000_10572,12052000_12052000_10572,,,,work,home,work,drt,1,1900-01-01 07:42:47,1900-01-01 07:42:47,0:00:00
75,12052000_12052000_10572,12052000_12052000_10572,,,,,work,home,drt,2,1900-01-01 15:55:57,1900-01-01 15:55:57,0:00:00
76,12052000_12052000_10593,12052000_12052000_10593,,,,work,home,work,drt,1,1900-01-01 06:45:49,1900-01-01 06:45:49,0:00:00
77,12052000_12052000_10593,12052000_12052000_10593,,,,,work,home,drt,2,1900-01-01 15:33:20,1900-01-01 15:33:20,0:00:00
78,12052000_12052000_1060,12052000_12052000_1060,,,,work,home,work,drt,1,1900-01-01 07:28:16,1900-01-01 07:44:07,0:15:51
79,12052000_12052000_1060,12052000_12052000_1060,,,,work,work,work,drt,2,1900-01-01 07:52:52,1900-01-01 07:52:52,0:00:00
80,12052000_12052000_1060,12052000_12052000_1060,,,,work,work,work,drt,3,1900-01-01 15:24:28,1900-01-01 15:24:28,0:00:00
81,12052000_12052000_1060,12052000_12052000_1060,,,,,work,home,drt,4,1900-01-01 15:50:29,1900-01-01 16:06:20,0:15:51
82,12052000_12052000_10603,12052000_12052000_10603,,,,work,home,work,drt,1,1900-01-01 08:24:16,1900-01-01 08:24:16,0:00:00
83,12052000_12052000_10603,12052000_12052000_10603,,,,,work,home,drt,2,1900-01-01 16:03:54,1900-01-01 16:03:54,0:00:00
84,12052000_12052000_10606,12052000_12052000_10606,,,,work,home,work,drt,1,1900-01-01 07:40:25,1900-01-01 07:40:25,0:00:00
85,12052000_12052000_10606,12052000_12052000_10606,,,,,work,home,drt,2,1900-01-01 15:29:24,1900-01-01 15:29:24,0:00:00
86,12052000_12052000_10631,12052000_12052000_10631,,,,work,home,work,drt,1,1900-01-01 07:05:07,1900-01-01 07:05:07,0:00:00
87,12052000_12052000_10631,12052000_12052000_10631,,,,,work,home,drt,2,1900-01-01 14:36:05,1900-01-01 14:36:05,0:00:00
88,12052000_12052000_10646,12052000_12052000_10646,,,,work,home,work,drt,1,1900-01-01 06:37:20,1900-01-01 07:43:22,1:06:02
89,12052000_12052000_10646,12052000_12052000_10646,,,,work,work,work,drt,2,1900-01-01 06:53:34,1900-01-01 06:53:34,0:00:00
90,12052000_12052000_10646,12052000_12052000_10646,,,,work,work,work,drt,3,1900-01-01 14:34:47,1900-01-01 14:34:47,0:00:00
91,12052000_12052000_10646,12052000_12052000_10646,,,,,work,home,drt,4,1900-01-01 15:25:56,1900-01-01 15:25:56,0:00:00
92,12052000_12052000_10649,12052000_12052000_10649,,,,work,home,work,drt,1,1900-01-01 08:00:17,1900-01-01 08:25:49,0:25:32
93,12052000_12052000_10649,12052000_12052000_10649,,,,,work,home,drt,2,1900-01-01 16:28:02,1900-01-01 16:53:34,0:25:32
94,12052000_12052000_10659,12052000_12052000_10659,,,,work,home,work,drt,1,1900-01-01 06:44:44,1900-01-01 06:44:44,0:00:00
95,12052000_12052000_10659,12052000_12052000_10659,,,,,work,home,drt,2,1900-01-01 15:27:20,1900-01-01 15:27:20,0:00:00
96,12052000_12052000_10679,12052000_12052000_10679,,,,work,home,work,drt,1,1900-01-01 07:46:22,1900-01-01 07:46:22,0:00:00
97,12052000_12052000_10679,12052000_12052000_10679,,,,,work,home,drt,2,1900-01-01 15:00:55,1900-01-01 15:00:55,0:00:00
98,12052000_12052000_10684,12052000_12052000_10684,,,,work,home,work,drt,1,1900-01-01 08:01:46,1900-01-01 08:09:07,0:07:21
99,12052000_12052000_10684,12052000_12052000_10684,,,,work,work,work,drt,2,1900-01-01 08:51:18,1900-01-01 08:51:18,0:00:00
100,12052000_12052000_10684,12052000_12052000_10684,,,,work,work,work,drt,3,1900-01-01 15:40:11,1900-01-01 15:40:11,0:00:00
101,12052000_12052000_10684,12052000_12052000_10684,,,,,work,home,drt,4,1900-01-01 15:27:57,1900-01-01 15:35:18,0:07:21
102,12052000_12052000_10699,12052000_12052000_10699,,,,work,home,work,drt,1,1900-01-01 07:33:13,1900-01-01 07:33:13,0:00:00
103,12052000_12052000_10699,12052000_12052000_10699,,,,work,work,work,drt,2,1900-01-01 08:09:01,1900-01-01 08:09:01,0:00:00
104,12052000_12052000_10699,12052000_12052000_10699,,,,work,work,work,drt,3,1900-01-01 15:35:15,1900-01-01 15:35:15,0:00:00
105,12052000_12052000_10699,12052000_12052000_10699,,,,,work,home,drt,4,1900-01-01 15:42:47,1900-01-01 15:42:47,0:00:00
106,12052000_12052000_10719,12052000_12052000_10719,,,,work,home,work,drt,1,1900-01-01 06:53:13,1900-01-01 06:53:13,0:00:00
107,12052000_12052000_10719,12052000_12052000_10719,,,,work,work,work,drt,2,1900-01-01 07:20:19,1900-01-01 07:20:19,0:00:00
108,12052000_12052000_10719,12052000_12052000_10719,,,,work,work,work,drt,3,1900-01-01 14:49:16,1900-01-01 14:49:16,0:00:00
109,12052000_12052000_10719,12052000_12052000_10719,,,,,work,home,drt,4,1900-01-01 15:13:25,1900-01-01 15:13:25,0:00:00
110,12052000_12052000_10725,12052000_12052000_10725,,,,work,home,work,drt,1,1900-01-01 07:20:15,1900-01-01 07:20:15,0:00:00
111,12052000_12052000_10725,12052000_12052000_10725,,,,,work,home,drt,2,1900-01-01 15:25:13,1900-01-01 15:25:13,0:00:00
112,12052000_12052000_1079,12052000_12052000_1079,,,,work,home,work,drt,1,1900-01-01 07:33:55,1900-01-01 07:33:55,0:00:00
113,12052000_12052000_1079,12052000_12052000_1079,,,,,work,home,drt,2,1900-01-01 16:09:39,1900-01-01 16:09:39,0:00:00
114,12052000_12052000_10813,12052000_12052000_10813,,,,work,home,work,drt,1,1900-01-01 06:50:48,1900-01-01 06:50:48,0:00:00
115,12052000_12052000_10813,12052000_12052000_10813,,,,,work,home,drt,2,1900-01-01 15:16:41,1900-01-01 15:16:41,0:00:00
116,12052000_12052000_10821,12052000_12052000_10821,,,,work,home,work,drt,1,1900-01-01 06:39:58,1900-01-01 06:39:58,0:00:00
117,12052000_12052000_10821,12052000_12052000_10821,,,,,work,home,drt,2,1900-01-01 14:51:01,1900-01-01 15:21:15,0:30:14
118,12052000_12052000_10826,12052000_12052000_10826,,,,work,home,work,drt,1,1900-01-01 07:31:20,1900-01-01 07:31:20,0:00:00
119,12052000_12052000_10826,12052000_12052000_10826,,,,,work,home,drt,2,1900-01-01 17:03:45,1900-01-01 17:03:45,0:00:00
120,12052000_12052000_10827,12052000_12052000_10827,,,,work,home,work,drt,1,1900-01-01 07:53:35,1900-01-01 07:53:35,0:00:00
121,12052000_12052000_10827,12052000_12052000_10827,,,,,work,home,drt,2,1900-01-01 16:33:44,1900-01-01 16:33:44,0:00:00
122,12052000_12052000_10834,12052000_12052000_10834,,,,work,home,work,drt,1,1900-01-01 07:05:30,1900-01-01 07:05:30,0:00:00
123,12052000_12052000_10834,12052000_12052000_10834,,,,,work,home,drt,2,1900-01-01 15:24:15,1900-01-01 15:24:15,0:00:00
124,12052000_12052000_10869,12052000_12052000_10869,,,,work,home,work,drt,1,1900-01-01 07:01:48,1900-01-01 07:01:48,0:00:00
125,12052000_12052000_10869,12052000_12052000_10869,,,,,work,home,drt,2,1900-01-01 15:27:03,1900-01-01 15:27:03,0:00:00
126,12052000_12052000_10898,12052000_12052000_10898,,,,work,home,work,drt,1,1900-01-01 06:46:05,1900-01-01 06:46:05,0:00:00
127,12052000_12052000_10898,12052000_12052000_10898,,,,,work,home,drt,2,1900-01-01 15:06:17,1900-01-01 15:06:17,0:00:00
128,12052000_12052000_10905,12052000_12052000_10905,,,,work,home,work,drt,1,1900-01-01 06:45:27,1900-01-01 06:45:27,0:00:00
129,12052000_12052000_10905,12052000_12052000_10905,,,,,work,home,drt,2,1900-01-01 15:23:41,1900-01-01 15:23:41,0:00:00
130,12052000_12052000_10936,12052000_12052000_10936,,,,work,home,work,drt,1,1900-01-01 06:30:40,1900-01-01 06:38:15,0:07:35
131,12052000_12052000_10936,12052000_12052000_10936,,,,work,work,work,drt,2,1900-01-01 07:00:14,1900-01-01 07:00:14,0:00:00
132,12052000_12052000_10936,12052000_12052000_10936,,,,work,work,work,drt,3,1900-01-01 14:56:28,1900-01-01 14:56:28,0:00:00
133,12052000_12052000_10936,12052000_12052000_10936,,,,,work,home,drt,4,1900-01-01 15:21:50,1900-01-01 15:29:25,0:07:35
134,12052000_12052000_10957,12052000_12052000_10957,,,,work,home,work,drt,1,1900-01-01 07:29:06,1900-01-01 07:29:06,0:00:00
135,12052000_12052000_10957,12052000_12052000_10957,,,,,work,home,drt,2,1900-01-01 15:51:57,1900-01-01 15:51:57,0:00:00
136,12052000_12052000_1099,12052000_12052000_1099,,,,work,home,work,drt,1,1900-01-01 06:13:16,1900-01-01 06:13:16,0:00:00
137,12052000_12052000_1099,12052000_12052000_1099,,,,,work,home,drt,2,1900-01-01 14:59:48,1900-01-01 14:59:48,0:00:00
138,12052000_12052000_10994,12052000_12052000_10994,,,,work,home,work,drt,1,1900-01-01 06:56:19,1900-01-01 06:56:19,0:00:00
139,12052000_12052000_10994,12052000_12052000_10994,,,,,work,home,drt,2,1900-01-01 14:48:21,1900-01-01 14:48:21,0:00:00
140,12052000_12052000_10998,12052000_12052000_10998,,,,work,home,work,drt,1,1900-01-01 08:24:16,1900-01-01 08:24:16,0:00:00
141,12052000_12052000_10998,12052000_12052000_10998,,,,,work,home,drt,2,1900-01-01 16:27:37,1900-01-01 16:27:37,0:00:00
142,12052000_12052000_11003,12052000_12052000_11003,,,,work,home,work,drt,1,1900-01-01 07:20:54,1900-01-01 07:20:54,0:00:00
143,12052000_12052000_11003,12052000_12052000_11003,,,,,work,home,drt,2,1900-01-01 15:16:10,1900-01-01 15:16:10,0:00:00
144,12052000_12052000_11027,12052000_12052000_11027,,,,work,home,work,drt,1,1900-01-01 07:37:29,1900-01-01 07:37:29,0:00:00
145,12052000_12052000_11027,12052000_12052000_11027,,,,,work,home,drt,2,1900-01-01 16:09:12,1900-01-01 16:09:12,0:00:00
146,12052000_12052000_11041,12052000_12052000_11041,,,,work,home,work,drt,1,1900-01-01 07:28:24,1900-01-01 07:28:24,0:00:00
147,12052000_12052000_11041,12052000_12052000_11041,,,,work,work,work,drt,2,1900-01-01 08:16:35,1900-01-01 08:16:35,0:00:00
148,12052000_12052000_11041,12052000_12052000_11041,,,,work,work,work,drt,3,1900-01-01 16:24:49,1900-01-01 16:24:49,0:00:00
149,12052000_12052000_11041,12052000_12052000_11041,,,,,work,home,drt,4,1900-01-01 16:20:50,1900-01-01 16:20:50,0:00:00
150,12052000_12052000_11042,12052000_12052000_11042,,,,work,home,work,drt,1,1900-01-01 07:42:36,1900-01-01 07:42:36,0:00:00
151,12052000_12052000_11042,12052000_12052000_11042,,,,,work,home,drt,2,1900-01-01 15:16:11,1900-01-01 15:16:11,0:00:00
152,12052000_12052000_11081,12052000_12052000_11081,,,,work,home,work,drt,1,1900-01-01 07:54:59,1900-01-01 08:11:34,0:16:35
153,12052000_12052000_11081,12052000_12052000_11081,,,,,work,home,drt,2,1900-01-01 15:43:12,1900-01-01 15:59:47,0:16:35
154,12052000_12052000_11090,12052000_12052000_11090,,,,work,home,work,drt,1,1900-01-01 07:53:34,1900-01-01 07:53:34,0:00:00
155,12052000_12052000_11090,12052000_12052000_11090,,,,,work,home,drt,2,1900-01-01 16:08:46,1900-01-01 16:08:46,0:00:00
156,12052000_12052000_11117,12052000_12052000_11117,,,,work,home,work,drt,1,1900-01-01 06:57:05,1900-01-01 06:57:05,0:00:00
157,12052000_12052000_11117,12052000_12052000_11117,,,,,work,home,drt,2,1900-01-01 15:27:57,1900-01-01 15:27:57,0:00:00
158,12052000_12052000_11118,12052000_12052000_11118,,,,work,home,work,drt,1,1900-01-01 06:52:34,1900-01-01 06:52:34,0:00:00
159,12052000_12052000_11118,12052000_12052000_11118,,,,,work,home,drt,2,1900-01-01 14:53:27,1900-01-01 14:53:27,0:00:00
160,12052000_12052000_1112,12052000_12052000_1112,,,,work,home,work,drt,1,1900-01-01 07:01:13,1900-01-01 07:01:13,0:00:00
161,12052000_12052000_1112,12052000_12052000_1112,,,,work,work,work,drt,2,1900-01-01 07:19:56,1900-01-01 07:19:56,0:00:00
162,12052000_12052000_1112,12052000_12052000_1112,,,,work,work,work,drt,3,1900-01-01 14:49:18,1900-01-01 14:49:18,0:00:00
163,12052000_12052000_1112,12052000_12052000_1112,,,,,work,home,drt,4,1900-01-01 15:22:21,1900-01-01 15:22:21,0:00:00
164,12052000_12052000_11144,12052000_12052000_11144,,,,work,home,work,drt,1,1900-01-01 07:26:39,1900-01-01 07:38:54,0:12:15
165,12052000_12052000_11144,12052000_12052000_11144,,,,work,work,work,drt,2,1900-01-01 07:54:14,1900-01-01 07:54:14,0:00:00
166,12052000_12052000_11144,12052000_12052000_11144,,,,work,work,work,drt,3,1900-01-01 15:39:52,1900-01-01 15:39:52,0:00:00
167,12052000_12052000_11144,12052000_12052000_11144,,,,,work,home,drt,4,1900-01-01 16:05:59,1900-01-01 16:18:14,0:12:15
168,12052000_12052000_11148,12052000_12052000_11148,,,,work,home,work,drt,1,1900-01-01 07:46:50,1900-01-01 07:46:50,0:00:00
169,12052000_12052000_11148,12052000_12052000_11148,,,,,work,home,drt,2,1900-01-01 16:47:08,1900-01-01 16:47:08,0:00:00
170,12052000_12052000_11167,12052000_12052000_11167,,,,work,home,work,drt,1,1900-01-01 07:33:44,1900-01-01 07:33:44,0:00:00
171,12052000_12052000_11167,12052000_12052000_11167,,,,,work,home,drt,2,1900-01-01 16:32:35,1900-01-01 17:25:27,0:52:52
172,12052000_12052000_11192,12052000_12052000_11192,,,,work,home,work,drt,1,1900-01-01 08:11:54,1900-01-01 08:11:54,0:00:00
173,12052000_12052000_11192,12052000_12052000_11192,,,,,work,home,drt,2,1900-01-01 16:14:33,1900-01-01 16:14:33,0:00:00
174,12052000_12052000_11206,12052000_12052000_11206,,,,work,home,work,drt,1,1900-01-01 06:43:10,1900-01-01 06:43:10,0:00:00
175,12052000_12052000_11206,12052000_12052000_11206,,,,,work,home,drt,2,1900-01-01 14:24:57,1900-01-01 14:24:57,0:00:00
176,12052000_12052000_11209,12052000_12052000_11209,,,,work,home,work,drt,1,1900-01-01 07:03:45,1900-01-01 07:03:45,0:00:00
177,12052000_12052000_11209,12052000_12052000_11209,,,,,work,home,drt,2,1900-01-01 15:23:37,1900-01-01 15:23:37,0:00:00
178,12052000_12052000_11214,12052000_12052000_11214,,,,work,home,work,drt,1,1900-01-01 07:53:48,1900-01-01 08:35:33,0:41:45
179,12052000_12052000_11214,12052000_12052000_11214,,,,,work,home,drt,2,1900-01-01 16:00:05,1900-01-01 16:00:05,0:00:00
180,12052000_12052000_11221,12052000_12052000_11221,,,,work,home,work,drt,1,1900-01-01 06:56:04,1900-01-01 06:56:04,0:00:00
181,12052000_12052000_11221,12052000_12052000_11221,,,,,work,home,drt,2,1900-01-01 15:30:18,1900-01-01 15:30:18,0:00:00
182,12052000_12052000_11230,12052000_12052000_11230,,,,work,home,work,drt,1,1900-01-01 06:09:28,1900-01-01 06:09:28,0:00:00
183,12052000_12052000_11230,12052000_12052000_11230,,,,,work,home,drt,2,1900-01-01 15:14:28,1900-01-01 15:14:28,0:00:00
184,12052000_12052000_11299,12052000_12052000_11299,,,,work,home,work,drt,1,1900-01-01 08:05:35,1900-01-01 08:05:35,0:00:00
185,12052000_12052000_11299,12052000_12052000_11299,,,,,work,home,drt,2,1900-01-01 16:27:11,1900-01-01 16:27:11,0:00:00
186,12052000_12052000_113,12052000_12052000_113,,,,work,home,work,drt,1,1900-01-01 07:35:32,1900-01-01 07:35:32,0:00:00
187,12052000_12052000_113,12052000_12052000_113,,,,,work,home,drt,2,1900-01-01 16:13:10,1900-01-01 16:13:10,0:00:00
188,12052000_12052000_11313,12052000_12052000_11313,,,,work,home,work,drt,1,1900-01-01 07:10:28,1900-01-01 07:10:28,0:00:00
189,12052000_12052000_11313,12052000_12052000_11313,,,,,work,home,drt,2,1900-01-01 15:08:33,1900-01-01 15:08:33,0:00:00
190,12052000_12052000_11331,12052000_12052000_11331,,,,work,home,work,drt,1,1900-01-01 07:18:56,1900-01-01 07:18:56,0:00:00
191,12052000_12052000_11331,12052000_12052000_11331,,,,,work,home,drt,2,1900-01-01 16:26:57,1900-01-01 16:26:57,0:00:00
192,12052000_12052000_11334,12052000_12052000_11334,,,,work,home,work,drt,1,1900-01-01 08:18:42,1900-01-01 08:18:42,0:00:00
193,12052000_12052000_11334,12052000_12052000_11334,,,,,work,home,drt,2,1900-01-01 16:46:29,1900-01-01 16:46:29,0:00:00
194,12052000_12052000_11368,12052000_12052000_11368,,,,work,home,work,drt,1,1900-01-01 07:33:39,1900-01-01 07:33:39,0:00:00
195,12052000_12052000_11368,12052000_12052000_11368,,,,,work,home,drt,2,1900-01-01 15:45:13,1900-01-01 15:45:13,0:00:00
196,12052000_12052000_11375,12052000_12052000_11375,,,,work,home,work,drt,1,1900-01-01 07:43:31,1900-01-01 07:43:31,0:00:00
197,12052000_12052000_11375,12052000_12052000_11375,,,,,work,home,drt,2,1900-01-01 16:22:46,1900-01-01 16:22:46,0:00:00
198,12052000_12052000_11379,12052000_12052000_11379,,,,work,home,work,drt,1,1900-01-01 06:43:54,1900-01-01 06:43:54,0:00:00
199,12052000_12052000_11379,12052000_12052000_11379,,,,,work,home,drt,2,1900-01-01 14:53:57,1900-01-01 14:53:57,0:00:00
